kmeans_constrained,x_min,x_max,y_min,y_max,x_diff,y_diff
168,-13632349.219396047,-13631992.371144699,4547310.3157439,4547791.037066247,356.8482513483614,480.72132234741
169,-13628044.982001169,-13627720.007011699,4543293.553361741,4543581.620189453,324.97498947009444,288.06682771164924
17,-13627376.07441477,-13626904.268915115,4544500.988909885,4544760.472427544,471.80549965426326,259.48351765889674
170,-13628532.839669572,-13628086.57096293,4549253.899268594,4549674.209811162,446.2687066420913,420.3105425685644
171,-13625974.695507245,-13625530.018669322,4548309.090048917,4548821.78831,444.6768379230052,512.6982610831037
172,-13634412.08436066,-13634051.01550297,4545780.046184873,4546315.5660195,361.0688576884568,535.519834626466
173,-13629202.637913726,-13628581.797981622,4550758.582510605,4550930.805586158,620.8399321045727,172.2230755528435
174,-13626919.219122726,-13626556.373242486,4545214.816460435,4545615.145331356,362.84588024020195,400.3288709204644
175,-13625752.278750127,-13625261.104175413,4545211.544351665,4545553.887251373,491.174574714154,342.3428997080773
176,-13627434.839872135,-13627078.149959732,4547729.181716293,4548042.997195368,356.6899124030024,313.8154790746048
177,-13634885.397731181,-13634446.698749915,4544684.8267936,4544763.457299968,438.69898126646876,78.63050636835396
178,-13629391.736332737,-13628803.412823895,4540960.071917479,4541373.32006011,588.3235088419169,413.24814263079315
179,-13632791.889991475,-13632360.693943888,4547977.577112418,4548044.476017926,431.1960475873202,66.8989055082202
18,-13631119.62633688,-13630691.26893631,4546303.033325487,4546576.2917205505,428.3574005700648,273.25839506369084
180,-13624782.615729941,-13624396.26305144,4544782.577399266,4545251.453202673,386.3526785019785,468.87580340728164
181,-13624047.220788058,-13623948.736434553,4546349.163583005,4547249.0406505,98.48435350507498,899.8770674951375
182,-13626208.981254445,-13625450.983263684,4541361.764484248,4541818.541811675,757.9979907609522,456.77732742670923
183,-13632003.926107844,-13631331.63390319,4546064.545192462,4546745.538196253,672.2922046538442,680.9930037902668
184,-13634392.764456626,-13633970.852454567,4544426.735293434,4544793.037038491,421.9120020586997,366.301745057106
185,-13624975.792320509,-13624485.875241527,4550436.612693784,4550873.087492121,489.917078981176,436.4747983375564
186,-13627519.253817283,-13627213.169370117,4548577.415093211,4548851.916333181,306.08444716595113,274.5012399693951
187,-13633625.094116164,-13632879.286923695,4539174.3318866035,4539858.593220456,745.8071924690157,684.261333852075
188,-13634876.514435817,-13634297.85609354,4548661.149246828,4548977.809876482,578.6583422757685,316.6606296543032
189,-13633166.246307062,-13632817.691300362,4548585.554316283,4548838.839952885,348.5550066996366,253.2856366019696
19,-13627015.32123913,-13626656.68323564,4549127.438966726,4549422.808883793,358.63800349086523,295.3699170667678
190,-13626968.170480566,-13626448.103905741,4543526.108479949,4543914.464524753,520.0665748249739,388.35604480467737
191,-13627770.323421538,-13627384.514071222,4550437.302969656,4551116.894733046,385.8093503154814,679.5917633902282
192,-13630755.778581223,-13630326.34138159,4549397.813468166,4549948.711802296,429.4371996317059,550.8983341306448
193,-13624712.9336069,-13624063.640412947,4548138.994341106,4548775.561190102,649.2931939531118,636.5668489960954
194,-13625226.539473519,-13624743.802501697,4549499.809653757,4549877.659224934,482.73697182163596,377.8495711768046
195,-13625143.884751607,-13624859.341001192,4549010.431454704,4549402.374210125,284.5437504146248,391.94275542069227
196,-13631009.598152181,-13630419.304288352,4540055.560281719,4540750.083226321,590.2938638292253,694.522944602184
197,-13629043.078121593,-13628834.593413264,4549080.1681679245,4549332.91716416,208.48470832966268,252.74899623543024
198,-13626652.464226939,-13626285.73329647,4550341.65089228,4550679.53627881,366.7309304680675,337.8853865303099
199,-13631046.901313547,-13630571.032754302,4548264.034204184,4548762.97482659,475.86855924502015,498.94062240608037
2,-13628694.77613283,-13628158.127131613,4545332.1896606255,4546019.615405859,536.6490012165159,687.4257452338934
20,-13626592.73018818,-13626432.062767118,4551020.644711145,4551296.844651768,160.6674210615456,276.1999406227842
200,-13630179.611160774,-13629690.86867521,4548741.2360665975,4549208.586728792,488.74248556420207,467.3506621941924
201,-13626729.797877192,-13626330.984669477,4548772.941377754,4549164.300760636,398.81320771574974,391.35938288178295
202,-13625981.608447623,-13625605.894034248,4550091.635446247,4550432.076596332,375.7144133746624,340.44115008506924
203,-13628115.912219204,-13627718.548726369,4543964.560775045,4544434.323949331,397.3634928353131,469.7631742861122
204,-13632980.281363124,-13632701.687808085,4542723.813670488,4543006.835058482,278.5935550387949,283.0213879942894
205,-13629378.589500874,-13628909.188604048,4551110.963609646,4551405.227848153,469.400896826759,294.26423850655556
206,-13625314.458396578,-13624546.78926689,4539918.397246034,4540360.15392637,767.6691296882927,441.7566803358495
207,-13629090.973332513,-13628561.359723112,4551956.49947124,4552215.661965155,529.6136094015092,259.1624939152971
208,-13626713.25580086,-13626329.904870417,4547096.692417682,4547465.051017008,383.3509304430336,368.358599325642
209,-13626147.441093056,-13625776.70266092,4549340.230646644,4549659.046228262,370.73843213543296,318.8155816178769
21,-13626024.243812596,-13625853.10122745,4540907.532124955,4541320.440385993,171.1425851471722,412.90826103743166
210,-13624981.224711658,-13624571.546721643,4547468.962311695,4547891.482374579,409.67799001559615,422.5200628833845
211,-13634768.679245083,-13634405.610725863,4547815.415949253,4548509.199660674,363.0685192197561,693.7837114203721
212,-13630096.077014884,-13629969.11097907,4540926.673299173,4541151.908447572,126.96603581309319,225.23514839913696
213,-13624396.541350165,-13624154.098631168,4544930.724159228,4545464.137528037,242.4427189975977,533.4133688090369
214,-13630718.987489516,-13630381.867543597,4546913.111932706,4547180.5345620625,337.1199459191412,267.4226293563843
