,geometry,x,y,cluster
10128454136,POINT (-13627834.732878909 4549940.738788686),-13627834.732878909,4549940.738788686,135
10128467026,POINT (-13627810.99956347 4549804.677294664),-13627810.99956347,4549804.677294664,135
10131461285,POINT (-13628749.17796798 4546962.8086366225),-13628749.17796798,4546962.8086366225,248
10139041368,POINT (-13628073.869409028 4552084.079361466),-13628073.869409028,4552084.079361466,129
10140412747,POINT (-13634654.075829312 4547815.415949253),-13634654.075829312,4547815.415949253,211
10140412748,POINT (-13634940.834837597 4548240.513412406),-13634940.834837597,4548240.513412406,100
10142050226,POINT (-13626575.987736763 4544576.087815707),-13626575.987736763,4544576.087815707,70
10144926630,POINT (-13634867.542084856 4548668.008575717),-13634867.542084856,4548668.008575717,100
10144926631,POINT (-13634856.543719167 4548669.445232442),-13634856.543719167,4548669.445232442,100
10148396972,POINT (-13633699.12157754 4545619.996147474),-13633699.12157754,4545619.996147474,131
10153795519,POINT (-13626791.168312466 4550669.449568504),-13626791.168312466,4550669.449568504,244
10155561736,POINT (-13634423.555427779 4546041.680805955),-13634423.555427779,4546041.680805955,37
10158817989,POINT (-13626713.25580086 4547288.994054775),-13626713.25580086,4547288.994054775,208
10158842727,POINT (-13624656.48349312 4548221.133446653),-13624656.48349312,4548221.133446653,31
10167729989,POINT (-13632587.50740638 4546180.974123499),-13632587.50740638,4546180.974123499,229
10168032990,POINT (-13631547.53845949 4540419.345541878),-13631547.53845949,4540419.345541878,29
10178872576,POINT (-13626636.567803653 4547569.193262314),-13626636.567803653,4547569.193262314,69
10178872577,POINT (-13628753.54169202 4546225.528101126),-13628753.54169202,4546225.528101126,139
10178872578,POINT (-13626235.928956289 4547819.922739191),-13626235.928956289,4547819.922739191,245
10178872579,POINT (-13628652.118503956 4547847.667707721),-13628652.118503956,4547847.667707721,225
10181034349,POINT (-13629579.287410825 4548645.557318921),-13629579.287410825,4548645.557318921,265
10181034350,POINT (-13629198.485696722 4548083.362084547),-13629198.485696722,4548083.362084547,273
10181034351,POINT (-13629158.666714862 4547837.766829757),-13629158.666714862,4547837.766829757,273
10181510285,POINT (-13631772.860240802 4548513.357864016),-13631772.860240802,4548513.357864016,115
10181854131,POINT (-13624903.891061407 4548345.582750043),-13624903.891061407,4548345.582750043,116
10198720350,POINT (-13634500.54398761 4546074.532569927),-13634500.54398761,4546074.532569927,37
10200932825,POINT (-13625955.103276864 4550207.80989555),-13625955.103276864,4550207.80989555,202
10219038067,POINT (-13627311.364292946 4547995.25246567),-13627311.364292946,4547995.25246567,176
10224656844,POINT (-13631077.336062327 4546913.632444961),-13631077.336062327,4546913.632444961,86
10234941382,POINT (-13628015.60478755 4548375.300945421),-13628015.60478755,4548375.300945421,85
10236274684,POINT (-13628465.313266458 4548051.081427912),-13628465.313266458,4548051.081427912,225
10236678796,POINT (-13629279.61534161 4551250.84604016),-13629279.61534161,4551250.84604016,205
10239425287,POINT (-13626540.109464882 4549562.224881981),-13626540.109464882,4549562.224881981,289
10241519028,POINT (-13626629.309772853 4548614.8242466515),-13626629.309772853,4548614.8242466515,260
10243637494,POINT (-13627883.034405965 4548611.162200092),-13627883.034405965,4548611.162200092,224
10245940482,POINT (-13625294.822849175 4548306.752041549),-13625294.822849175,4548306.752041549,218
10252456565,POINT (-13625644.288126621 4548802.505857521),-13625644.288126621,4548802.505857521,237
